===============================================================================
Id,backtest-ma-orcl-1995-2014,len,datetime,open,high,low,close,volume,openinterest,adjclose,TestStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
89,backtest-ma-orcl-1995-2014,89,2000-05-09 23:59:59.999989,32.77,33.02,31.69,32.02,48943989.0,0.0,32.021648,TestStrategy,89,730249.9999999999,Broker,89,1014.6999999999996,1014.6999999999996,BuySell,89,,33.5153,Trades - Net Profit/Loss,89,,-7.199999999999989
90,backtest-ma-orcl-1995-2014,90,2000-05-10 23:59:59.999989,31.55,32.52,30.02,30.08,80011897.0,0.0,30.075888,TestStrategy,90,730250.9999999999,Broker,90,1014.6999999999996,1014.6999999999996,BuySell,90,,,Trades - Net Profit/Loss,90,,
91,backtest-ma-orcl-1995-2014,91,2000-05-11 23:59:59.999989,30.66,32.19,30.24,32.19,52378535.0,0.0,32.188431,TestStrategy,91,730251.9999999999,Broker,91,1014.6999999999996,1014.6999999999996,BuySell,91,,,Trades - Net Profit/Loss,91,,
92,backtest-ma-orcl-1995-2014,92,2000-05-12 23:59:59.999989,32.61,34.0,32.49,32.99,43888262.0,0.0,32.994545,TestStrategy,92,730252.9999999999,Broker,92,1014.6999999999996,1014.6999999999996,BuySell,92,,,Trades - Net Profit/Loss,92,,
93,backtest-ma-orcl-1995-2014,93,2000-05-15 23:59:59.999989,33.11,34.25,31.41,34.25,47186345.0,0.0,34.24538,TestStrategy,93,730255.9999999999,Broker,93,1014.6999999999996,1014.6999999999996,BuySell,93,,,Trades - Net Profit/Loss,93,,
94,backtest-ma-orcl-1995-2014,94,2000-05-16 23:59:59.999989,34.52,35.47,34.27,35.22,43014970.0,0.0,35.218258,TestStrategy,94,730256.9999999999,Broker,94,669.4999999999995,1021.6999999999996,BuySell,94,33.755950000000006,,Trades - Net Profit/Loss,94,,
95,backtest-ma-orcl-1995-2014,95,2000-05-17 23:59:59.999989,34.58,35.52,33.91,34.77,38216949.0,0.0,34.773506,TestStrategy,95,730257.9999999999,Broker,95,669.4999999999995,1017.1999999999996,BuySell,95,,,Trades - Net Profit/Loss,95,,
96,backtest-ma-orcl-1995-2014,96,2000-05-18 23:59:59.999989,34.83,35.02,32.22,32.49,52214845.0,0.0,32.494194,TestStrategy,96,730258.9999999999,Broker,96,669.4999999999995,994.3999999999996,BuySell,96,,,Trades - Net Profit/Loss,96,,
97,backtest-ma-orcl-1995-2014,97,2000-05-19 23:59:59.999989,32.02,32.91,30.91,31.16,58717686.0,0.0,31.15995,TestStrategy,97,730259.9999999999,Broker,97,989.6999999999996,989.6999999999996,BuySell,97,,33.40364999999999,Trades - Net Profit/Loss,97,,-25.0
98,backtest-ma-orcl-1995-2014,98,2000-05-22 23:59:59.999989,31.16,31.24,27.91,30.16,102481161.0,0.0,30.159281,TestStrategy,98,730262.9999999999,Broker,98,989.6999999999996,989.6999999999996,BuySell,98,,,Trades - Net Profit/Loss,98,,
99,backtest-ma-orcl-1995-2014,99,2000-05-23 23:59:59.999989,29.8,30.47,27.74,27.85,65851205.0,0.0,27.852161,TestStrategy,99,730263.9999999999,Broker,99,989.6999999999996,989.6999999999996,BuySell,99,,,Trades - Net Profit/Loss,99,,
100,backtest-ma-orcl-1995-2014,100,2000-05-24 23:59:59.999989,27.47,28.69,25.85,28.57,95779800.0,0.0,28.574875,TestStrategy,100,730264.9999999999,Broker,100,989.6999999999996,989.6999999999996,BuySell,100,,,Trades - Net Profit/Loss,100,,
101,backtest-ma-orcl-1995-2014,101,2000-05-25 23:59:59.999989,29.13,31.49,28.91,29.55,91016169.0,0.0,29.547756,TestStrategy,101,730265.9999999999,Broker,101,989.6999999999996,989.6999999999996,BuySell,101,,,Trades - Net Profit/Loss,101,,
